GENE_NAME
AAAS
AASS
ABCA1
ABCA4
ABCB4
ABCB7
ABCC2
ABCC6
ABCC8
ABCC9
ABCD1
ABHD5
ACAN
ACAT1
ACTA2
ACTC1
ACTG1
ACTN2
ACTN4
ACVR1
ACVR2B
ACVRL1
ADAM9
ADAMTS10
ADAMTS17
ADCK3
ADD1
ADH1C
ADRB3
AFG3L2
AGA
AGL
AGPAT2
AGPS
AGT
AGTR1
AGXT
AHCY
AIP
AIPL1
AK1
AK2
AKR1D1
AKT2
ALAS2
ALDH3A2
ALG1
ALG10
ALG11
ALG12
ALG3
ALG6
ALG8
ALG9
ALMS1
ALOX12B
ALOXE3
ALPL
ALS2
AMACR
AMELX
ANG
AP3B1
AP5Z1
APOA1
APOA5
APOL1
ARFGEF2
ARG1
ARHGAP26
ARHGEF12
ARHGEF9
ARL6
ARSA
ARSB
ASAH1
ASL
ASPA
ASPM
ASPSCR1
ATG16L1
ATL1
ATM
ATN1
ATP1A2
ATP2A1
ATP2A2
ATP2C1
ATP7A
ATP7B
ATR
ATXN1
ATXN10
ATXN2
ATXN3
ATXN8OS
AURKA
AVPR2
AXIN1
AXIN2
B4GALT1
B4GALT7
BANK1
BARD1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCKDHA
BCKDHB
BCL10
BCOR
BCR
BCS1L
BEAN1
BEST1
BLK
BLM
BLNK
BMP15
BMP2
BMP4
BMPR1B
BMPR2
BRCA1
BRIP1
BSCL2
BSND
BTD
BTK
BUB1B
C10orf2
C2
C2orf71
C3
C5
CA2
CA4
CABP4
CACNA1A
CACNA1S
CAPN3
CARD9
CASP10
CASP8
CAV1
CAV3
CBX2
CCDC28B
CCDC50
CCND1
CD19
CD24
CD244
CD2AP
CD79A
CD79B
CD81
CDAN1
CDC73
CDH1
CDH23
CDHR1
CDK5RAP2
CDKAL1
CDKN1C
CDKN2A
CEBPA
CEL
CENPJ
CEP152
CEP290
CERKL
CFB
CFC1
CFH
CFHR1
CFHR3
CFI
CFTR
CHEK2
CHIC2
CHM
CHMP4B
CHN1
CIITA
CISD2
CLCN1
CLCN5
CLCN7
CLCNKA
CLCNKB
CLEC7A
CLN3
CLN5
CLN6
CLRN1
CNBP
CNGA1
CNGA3
CNGB1
CNGB3
COA5
COCH
COG1
COG4
COG5
COG7
COG8
COL10A1
COL11A2
COL1A1
COL1A2
COL2A1
COL3A1
COL4A3
COL4A4
COL4A5
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL8A2
COMP
COX14
COX15
COX6B1
CP
CPOX
CPS1
CRB1
CRTAP
CRX
CRYAB
CSRP3
CST3
CSTB
CTNS
CTSC
CYBA
CYBB
CYLD
CYP27A1
CYP2A6
CYP3A5
CYP4V2
CYP7B1
D2HGDH
DBT
DCTN1
DDB2
DES
DFNA5
DFNB31
DFNB59
DHH
DIAPH1
DIAPH2
DICER1
DKC1
DLD
DLL3
DLX3
DMP1
DNAAF1
DNAAF2
DNAH11
DNAI1
DNAI2
DNASE1
DNM2
DOLK
DPAGT1
DPM1
DPM3
DSC2
DSG2
DSP
DSPP
DUOX2
DUOXA2
DYNC2H1
DYSF
ECE1
ECM1
EDA
EDAR
EDARADD
EDN3
EDNRA
EDNRB
EFHC1
EFNB1
EGFR
ELANE
ELN
EMD
EMG1
ENAM
ENG
ENPP1
EP300
EPB41
EPCAM
EPHA2
EPHX1
EPM2A
ERBB2
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
ESCO2
ESPN
ETV6
EVC
EVC2
EWSR1
EXT2
EYA1
EYA4
EYS
F11
F12
F13B
F2
F5
F9
FAH
FAM134B
FAM161A
FAM83H
FANCA
FANCC
FAS
FASLG
FASTKD2
FBLN5
FBP1
FBXO7
FCGR2B
FECH
FERMT3
FGA
FGB
FGD4
FGF10
FGF14
FGF23
FGF8
FGFR2
FGFR3
FHL1
FIG4
FIGLA
FKBP10
FKRP
FKTN
FLCN
FLG
FLNA
FLNB
FLT3
FLT4
FOXC1
FOXE1
FOXE3
FOXF1
FOXI1
FOXL2
