GENE_NAME
ADNP
ADSL
AHDC1
AHI1
ALDH5A1
ANKRD11
ARID1B
ARX
ASXL3
BRAF
CACNA1C
CDKL5
CHD2
CHD7
CHD8
CHKB
CNTNAP2
DDX3X
DEAF1
DHCR7
DMD
DMPK
DYRK1A
EHMT1
FMR1
GATM
HCN1
HDAC4
HEPACAM
HERC2
HOXA1
KAT6A
KCNJ10
KMT2A
MAGEL2
MBD5
MECP2
NF1
NFIX
NIPBL
NR2F1
NSD1
NTNG1
OCRL
PACS1
PAX6
PCDH19
PIK3R2
POGZ
PPP2R5D
PRKD1
PRODH
PTEN
PTPN11
RAI1
RERE
RNF135
RPS6KA3
SCN1A
SETD5
SGSH
SHANK3
SLC1A2
SLC9A6
SMARCA2
SNX14
STXBP1
SYNE1
SYNGAP1
TAF1
TCF4
TSC1
TSC2
UBE3A
UPF3B
VPS13B
WAC
ZBTB20
ANK2
ASH1L
GRIN2B
SCN2A
SUV420H1
TBR1
BCKDK
BCL11A
CACNA1H
CACNA2D3
CNTN4
CTNND2
CUL3
DSCAM
ERBB2IP
FOXP1
GABRB3
GRIP1
ILF2
INTS6
IRF2BPL
KAT2B
KATNAL2
KDM5B
KMT2C
MED13L
MET
MSNP1AS
MYT1L
NLGN3
NRXN1
PTCHD1
RANBP17
RELN
SHANK2
SLC6A1
SPAST
USP7
NCKAP1
TCF7L2
TNRC6B
TRIP12
GIGYF1
KDM6B
PHF2
WDFY3
DNMT3A
MFRP
P2RX5
MIB1
ZNF559
DIP2A
KMT2E
AKAP9
APH1A
CTTNBP2
ETFB
NAA15
NINL
OR52M1
PTK7
TRIO
USP45
ACHE
CAPN12
